C_to_P,N_to_P,driver,condition,Study,Species,PFT
193.147,23.31566876,N,treatment,Plum15,Chaetoceras danicus,Dia
94.54134,9.795,N,control,Qu18,Coscinodiscus sp,Dia
83.05146,11.205,N,treatment,Qu18,Coscinodiscus sp,Dia
104.512368,11.056,N,control,Qu18,Coscinodiscus sp,Dia
89.642896,11.273,N,treatment,Qu18,Coscinodiscus sp,Dia
139.5009,14.091,N,control,Qu18,Coscinodiscus sp,Dia
114.138276,15.036,N,treatment,Qu18,Coscinodiscus sp,Dia
142.06707,13.191,N,control,Qu18,Coscinodiscus sp,Dia
127.364841,16.161,N,treatment,Qu18,Coscinodiscus sp,Dia
46.6739621,3.062132892,N,control,Rasdi15,Tisochrysis lutea,Euk
43.09788718,9.899556741,N,treatment,Rasdi15,Tisochrysis lutea,Euk
44.07224635,2.991486335,N,control,Rasdi15,Nannochloropsis oculata,Euk
34.32944625,9.723072636,N,treatment,Rasdi15,Nannochloropsis oculata,Euk
41.65050223,5.382222577,N,control,Ruan17,Synechococcus sp. UTEX LB 2380,Pro
46.76496954,8.952536367,N,treatment,Ruan17,Synechococcus sp. UTEX LB 2380,Pro
39.73861446,4.584199656,N,control,Ruan17,Synechococcus sp. UTEX LB 2380,Pro
47.62862399,10.45029959,N,treatment,Ruan17,Synechococcus sp. UTEX LB 2380,Pro
417.94,74.01097928,N,control,Steinhoff14,Aphanizomenon flos-aquae,Dz
138.551,20.89758673,N,treatment,Steinhoff14,Aphanizomenon flos-aquae,Dz
201.198,34.07825203,N,control,Steinhoff14,Nodularia spumigena,Dz
223.538,38.54768063,N,treatment,Steinhoff14,Nodularia spumigena,Dz
537.583,6.535725141,N,control,Sun18,Scrippsiella trochoidea,Din
368.135,7.89921466,N,treatment,Sun18,Scrippsiella trochoidea,Din
58,4.833333333,Fe,control,BermanFrank01,﻿Trichodesmium sp. IMS101,Dz
156,1,Fe,treatment,BermanFrank01,﻿Trichodesmium sp. IMS101,Dz
300,71,Fe,control,BlancoAmeijeiras18,﻿Synechococcus sp. PCC7002,Pro
870,253,Fe,treatment,BlancoAmeijeiras18,﻿Synechococcus sp. PCC7002,Pro
73,31.73913043,Fe,control,Cunningham17,﻿Synechococcus sp. WH7803,Pro
65,20.3125,Fe,treatment,Cunningham17,﻿Synechococcus sp. WH7803,Pro
169,29.13793103,Fe,control,Cunningham17,Prochlorococcus sp. MED4,Pro
89,17.45098039,Fe,treatment,Cunningham17,Prochlorococcus sp. MED4,Pro
101,15.78125,Fe,control,Fu08b,Crocosphaera watsonii WH8501,Dz
116,15.67567568,Fe,treatment,Fu08b,Crocosphaera watsonii WH8501,Dz
101,16.03174603,Fe,control,Fu08b,Crocosphaera watsonii WH8501,Dz
130,18.84057971,Fe,treatment,Fu08b,Crocosphaera watsonii WH8501,Dz
104,16,Fe,control,Fu08b,Crocosphaera watsonii WH8501,Dz
140,19.17808219,Fe,treatment,Fu08b,Crocosphaera watsonii WH8501,Dz
98.99707196,15.29568494,Fe,control,Greene91,﻿Phaeodactylum tricornutum,Dia
105.3009265,17.26244697,Fe,treatment,Greene91,﻿Phaeodactylum tricornutum,Dia
21.5,4,Fe,control,Hoffmann07,Fragilariopsis kerguelensis,Dia
19.3,3.7,Fe,treatment,Hoffmann07,Fragilariopsis kerguelensis,Dia
230.7,36.61904762,Fe,control,Jiang18,Trichodesmium erythraeum IMS101,Dz
60.8,10.30508475,Fe,treatment,Jiang18,Trichodesmium erythraeum IMS101,Dz
305.7,40.76,Fe,control,Jiang18,Trichodesmium erythraeum IMS101,Dz
98.9,19.39215686,Fe,treatment,Jiang18,Trichodesmium erythraeum IMS101,Dz
240.8,35.94029851,Fe,control,Jiang18,Trichodesmium erythraeum IMS101,Dz
136.5,27.85714286,Fe,treatment,Jiang18,Trichodesmium erythraeum IMS101,Dz
49.3,7.584615385,Fe,control,LaRoche93,Dunaliella tertiolecta,Euk
50,6.756756757,Fe,treatment,LaRoche93,Dunaliella tertiolecta,Euk
85,9.042553191,Fe,control,LaRoche93,Phaeodactylum tricornutum,Dia
47.8,6.289473684,Fe,treatment,LaRoche93,Phaeodactylum tricornutum,Dia
96.9868911,15.290438,Fe,control,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Dia
107.860101,18.11960617,Fe,treatment,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Dia
155.1320578,23.62096232,Fe,control,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Dia
118.0719075,20.30208018,Fe,treatment,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Dia
95.21033384,14.50931194,Fe,control,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Dia
144.9036838,24.56859618,Fe,treatment,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Dia
119.0416653,18.31022494,Fe,control,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Dia
155.7745562,26.24488016,Fe,treatment,Sugie13,Pseudonitzschia ﻿pseudodelicatissima,Dia
80.34,14.62056415,Fe,control,Sugie16,Thalassiosira weissflogii,Dia
95.93,16.80035026,Fe,treatment,Sugie16,Thalassiosira weissflogii,Dia
86.92,15.12967798,Fe,control,Sugie16,Thalassiosira weissflogii,Dia
90.945,16.41606498,Fe,treatment,Sugie16,Thalassiosira weissflogii,Dia
81.605,14.87784868,Fe,control,Sugie16,Thalassiosira weissflogii,Dia
88.3,16.01087942,Fe,treatment,Sugie16,Thalassiosira weissflogii,Dia
156.93,21.16100324,Fe,control,Xu14,Phaeocystis antarctica,Euk
156.724,20.67598945,Fe,treatment,Xu14,Phaeocystis antarctica,Euk
164.28,22.17004049,Fe,control,Xu14,Phaeocystis antarctica,Euk
178.968,24.38920687,Fe,treatment,Xu14,Phaeocystis antarctica,Euk
170.094,20.25893283,Fe,control,Xu14,Phaeocystis antarctica,Euk
159.475,25.1260438,Fe,treatment,Xu14,Phaeocystis antarctica,Euk
83.86,13.82687552,Fe,control,Xu14,Fragilariopsis cylindrus,Dia
89.846,15.03447122,Fe,treatment,Xu14,Fragilariopsis cylindrus,Dia
44.538,6.825747126,Fe,control,Xu14,Fragilariopsis cylindrus,Dia
57.063,9.924,Fe,treatment,Xu14,Fragilariopsis cylindrus,Dia
91.415,12.43403156,Fe,control,Xu14,Fragilariopsis cylindrus,Dia
52.595,6.508476674,Fe,treatment,Xu14,Fragilariopsis cylindrus,Dia
92.4,18.11764706,Fe,control,Zhu16,Pseudo-nitzschia subcurvata,Dia
147,21.30434783,Fe,treatment,Zhu16,Pseudo-nitzschia subcurvata,Dia
136.4,27.83673469,Fe,control,Zhu16,Pseudo-nitzschia subcurvata,Dia
241.6,38.34920635,Fe,treatment,Zhu16,Pseudo-nitzschia subcurvata,Dia
90.6,13.93846154,Fe,control,Zhu16,Pseudo-nitzschia subcurvata,Dia
80.1,11.60869565,Fe,treatment,Zhu16,Pseudo-nitzschia subcurvata,Dia
102.1,15.46969697,Fe,control,Zhu16,Pseudo-nitzschia subcurvata,Dia
80.9,11.89705882,Fe,treatment,Zhu16,Pseudo-nitzschia subcurvata,Dia
151.5,23.30769231,Fe,control,Zhu16,Chaetoceros sp.,Dia
147.5,18.67088608,Fe,treatment,Zhu16,Chaetoceros sp.,Dia
128.4,19.45454545,Fe,control,Zhu16,Chaetoceros sp.,Dia
118.3,16.20547945,Fe,treatment,Zhu16,Chaetoceros sp.,Dia
75.9,12.04761905,Fe,control,Zhu16,Fragilariopsis cylindrus,Dia
85,12.14285714,Fe,treatment,Zhu16,Fragilariopsis cylindrus,Dia
63.2,9.028571429,Fe,control,Zhu16,Fragilariopsis cylindrus,Dia
82,11.88405797,Fe,treatment,Zhu16,Fragilariopsis cylindrus,Dia
134.5,20.69230769,Fe,control,Zhu16,﻿Phaeocystis antarctica,Dia
100.4,13.94444444,Fe,treatment,Zhu16,﻿Phaeocystis antarctica,Dia
187.8,28.45454545,Fe,control,Zhu16,﻿Phaeocystis antarctica,Dia
214.9,32.56060606,Fe,treatment,Zhu16,﻿Phaeocystis antarctica,Dia
117,17.48878924,I,control,Feng08,Emiliania huxleyi ,Coc
91,14.89361702,I,treatment,Feng08,Emiliania huxleyi ,Coc
116,17.84615385,I,control,Feng08,Emiliania huxleyi ,Coc
124,17.76504298,I,treatment,Feng08,Emiliania huxleyi ,Coc
108,15.74344023,I,control,Feng08,Emiliania huxleyi ,Coc
82,14.0651801,I,treatment,Feng08,Emiliania huxleyi ,Coc
